"funder";"detail";"role";"period";"description";"selected"
"EURAMET";"FKZ: 24DIT05";"Projektmitarbeit";"2025 - 2028";"GridData -  Metrology for reliable power grid data analytics";TRUE
"DFG";"Projektnummer: 521923789";"Projektleitung";"2024 - 2026";"Neue Verfahren zur multivariaten Analyse der Strom- und Spannungsqualität in großen Datenmengen";TRUE
"SysQual";"Auftragsforschung";"Projektmitarbeit";"2023 - 2026";"Neue Methoden für die effiziente und einheitliche Überwachung und Bewertung der Strom- und Spannungsqualität im Übertragungsnetz (50Hertz, Amprion, TenneT und TransnetBW)";TRUE
"TransnetBW";"Auftragsforschung";"Projektleitung";"2022 - 2023";"Systematische Untersuchungen zur realistischen Simulation harmonischer Nullsysteme im Übertragungsnetz";TRUE
"Österreichs E-Wirtschaft";"Auftragsforschung";"Projektmitarbeit";"2021 - 2023";"Analyse des Einflusses ausgewählter Erhebungsparameter auf die statistischen Ergebnisse des MS-Messprogramms zur Spannungsqualität in Österreich";FALSE
"TransnetBW";"Auftragsforschung";"Projektleitung";"2021 - 2022";"Implementierung, Optimierung und Erweiterung von Verfahren zur Bewertung der Strom- und Spannungsqualität";FALSE
"TenneT";"Auftragsforschung";"Projektmitarbeit";"2019 - 2021";"Validierung und Weiterentwicklung von Verfahren zur Beurteilung von Netzrückwirkungen (Verzerrung)";FALSE
"TransnetBW";"Auftragsforschung";"Projektleitung";"2019 - 2022";"Analyse und Bewertung der Strom- und Spannungsqualität im Übertragungsnetz des Netzbetreibers";FALSE
"BMWI";"FKZ: 0325757A-L";"Projektmitarbeit";"2015 - 2018";"NetzHarmonie: Optimierte Effizienz und Netzverträglichkeit bei der Integration von Erzeugungsanlagen aus Oberschwingungssicht";TRUE
"FNN im VDE";"Auftragsforschung";"Projektleitung";"2012 - 2014";"Systematische Bewertung der Strom- und Spannungsqualität in öffentlichen Niederspannungsnetzen Deutschlands";FALSE
"DFG";"FKZ: SCHE 571/8-1 und SCHE 571/8-2";"Projektleitung";"2010 - 2016";"Identifikation und Quantifizierung korrelativer Zusammenhänge zwischen elektrischer sowie klimatischer Umgebung und Elektroenergiequalität";FALSE
